date,DDR1,DDR2,DDR3,DDR4,DDR5
2000-01-01,,,,,
2001-01-01,,,,,
2002-01-01,,,,,
2003-01-01,,,,,
2004-04-06,6.52,,,,
2004-04-20,5.63,,,,
2004-04-27,5.37,,,,
2004-09-14,4.335,,,,
2006-02-07,2.27,5.12,,,
2006-05-16,2.42,5.02,,,
2009-11-27,1.60,2.47,2.73,,
2010-01-04,1.54,2.63,2.75,,
2017-10-11,,1.227,3.549,9.000,
2018-01-18,,1.330,3.872,9.583,
2019-01-18,,1.137,2.476,5.961,
2020-10-12,,,1.494,2.960,
2021-12-08,,,2.555,3.292,
2022-11-29,,,1.404,2.101,
2023-04-06,,,1.062,1.650,
2023-11-30,,,1.052,1.717,
2024-08-22,,,0.918,1.973,
2024-12-13,,,0.783,1.463,
2025-08-01,,,,,5.99
2025-09-25,,,2.263,6.171,
2025-11-05,,,3.346,11.071,
2025-12-04,,,,,26.93
2025-12-05,,,3.576,17.050,
2026-01-15,,,4.491,28.500,
2026-01-26,,,5.148,30.900,
2026-02-13,,,,,38.067
